3	1200	9389
2	1200	9453
1	1200	9501
0	1200	9531
3	13996	11996
3	16726	14905
2	13902	17856
1	14574	17873
0	14189	17935
0	19458	20511
3	21377	21603
3	23243	23721
1	23651	24608
2	24000	24623
3	26986	27057
2	26165	27099
1	32300	27687
0	26520	27709
2	31502	31833
3	31744	32154
0	31738	32606
1	34014	34201
3	35166	35386
2	35473	36060
1	37770	38047
0	37709	38102
2	40317	40679
0	40535	40688
3	41695	42037
1	41707	42124
0	42366	43129
3	43853	43886
2	45778	46075
1	47159	47439
3	49612	49816
2	50087	51212
1	50806	51251
0	50926	51301
1	54330	54526
2	56545	57268
0	56850	57277
3	57226	57755
1	57405	58096
3	65427	117511
2	60689	117580
1	59789	118351
0	64444	118356
1	121396	122040
3	122547	130740
2	123465	130860
1	125131	130881
0	123084	131404
2	135817	135428
3	138534	149076
2	139636	149082
1	137882	149109
0	136357	149149
3	151120	151490
2	154250	157323
1	156199	157386
0	153873	157497
3	157686	158316
1	159089	159537
2	160753	162238
0	161119	162293
3	163882	204944
0	166694	205095
1	166586	205119
2	166262	205139
3	208697	208893
2	208667	209073
3	210426	210789
0	210472	210900
1	211027	211543

